DATE,WILL5000INDFC_PCH,NGDPNSAXDCUSQ_PCH,PPIACO_PCH,FEDFUNDS_PCH,M2SL_PCH,U4RATE_PCH,CIVPART_PCH,BOGZ1FL010000336Q_PCH,GFDEGDQ188S_CH1,CORESTICKM159SFRBATL_PCH,M2V_PCH,CPALTT01USM657N_PCH
7/1/2011,-7.08826,0.88761,0.06546,-10.71429,4.11694,-0.34483,0,-0.91241,4.95568,27.31514,-3.3839,-48.75135
10/1/2011,-0.03844,2.20759,-1.5045,-12,1.70108,-3.80623,-0.052,-1.2145,4.47931,19.1894,-0.48309,-204.08097
1/1/2012,11.00328,-1.34592,0.69733,40.90909,1.78534,-4.67626,-0.46826,-1.72799,4.16679,9.23128,-0.36408,-405.2011
4/1/2012,0.05591,2.19445,-0.18137,48.3871,1.57651,-1.50943,-0.05227,-1.17398,5.63371,5.83725,-0.66991,-97.67557
7/1/2012,3.97586,0.96811,0.29732,-6.52174,1.88379,-2.29885,-0.20921,-0.45165,3.9269,0.44127,-1.16493,2103.20423
10/1/2012,1.95661,1.80736,-0.06588,11.62791,2.27399,-1.56863,0.15723,-0.63275,3.9845,-2.11419,-1.6129,-193.12292
1/1/2013,8.31718,-2.28073,0.6592,-10.41667,1.53841,-1.59363,-0.3663,-1.5465,3.73296,-3.04894,-0.25221,-275.98092
4/1/2013,6.72268,2.75772,0.18009,-18.60465,1.08901,-1.61943,-0.10504,-0.34387,2.40462,-9.41318,-0.69532,-77.17983
7/1/2013,5.3187,1.72218,0.09806,-28.57143,1.39936,-3.7037,-0.2103,-0.71146,0.52979,-0.82743,-0.12731,-12.11736
10/1/2013,6.37215,2.39353,-1.1102,4,1.9612,-4.70085,-0.57956,-0.00369,0.0591,-0.69648,-0.63735,-270.42145
1/1/2014,4.77461,-3.38171,1.78306,-15.38462,1.52095,-4.93274,0.10599,-0.1996,1.80938,-3.571,-1.41116,-394.63473
4/1/2014,3.15789,3.73017,1.31387,27.27273,1.45185,-5.66038,-0.21175,-1.14641,0.74079,15.92235,0.39037,-37.57132
7/1/2014,4.17226,2.1599,-0.51233,-3.57143,1.28116,-2,0.05305,-1.57453,1.47797,-4.43684,0.32404,-115.12039
10/1/2014,1.52916,1.70844,-3.23463,11.11111,1.3583,-6.12245,0,-0.14953,1.48401,-0.59578,-0.71059,938.25308
1/1/2015,3.6012,-3.1136,-4.44038,10,1.88118,-2.71739,-0.21209,-1.01429,-1.77205,-0.24615,-1.10605,-141.14974
4/1/2015,2.57945,3.78761,0.78315,12.12121,1.06191,-2.23464,0.10627,-0.18211,-1.2022,4.65839,0.06579,90.25254
7/1/2015,-3.44979,1.07193,-0.72526,10.81081,1.18562,-5.71429,-0.42463,-0.16799,-1.30963,5.70681,-0.59172,-127.32994
10/1/2015,0.53377,1.07766,-3.16577,17.07317,1.4135,-1.81818,0.0533,0.05646,1.60067,8.99909,-1.25661,105.69477
1/1/2016,-5.55891,-3.39284,-1.92204,125,2.21575,-2.46914,0.42621,-0.54889,3.66371,4.83173,-1.67448,-213.46255
4/1/2016,7.53943,3.76409,1.84982,3.7037,1.73391,0,-0.1061,-0.08205,4.36631,1.79305,-0.6812,77.98447
7/1/2016,5.23715,1.16945,0.9171,6.25,1.56178,-1.26582,0.15932,0.37501,5.10415,3.29127,-0.68587,-85.88139
10/1/2016,2.05527,1.92837,0,13.44538,1.52517,-1.92308,-0.21209,-0.32001,2.0994,-3.78901,-0.48343,-98.90811
1/1/2017,7.12234,-3.41542,2.24519,55.55556,1.47339,-4.57516,0.21254,-0.63567,-0.91053,2.08515,-0.48577,52490.80642
4/1/2017,3.31182,4.53219,0.97595,35.71429,1.28054,-4.79452,0,0.21878,-1.33954,-15.95451,-0.48815,-51.69573
7/1/2017,3.17855,1.29701,0.466,21.40351,1.0549,-0.71942,0.15907,-0.39675,-0.75865,-3.10562,0.28031,60.75411
