DATE,WILL5000INDFC_PCH,NGDPNSAXDCUSQ_PCH,PPIACO_PCH,FEDFUNDS_PCH,M2SL_PCH,U4RATE_PCH,CIVPART_PCH,BOGZ1FL010000336Q_PCH,GFDEGDQ188S_CH1,CORESTICKM159SFRBATL_PCH,M2V_PCH,CPALTT01USM657N_PCH
4/1/1953,.,3.59969,-0.34325,.,.,.,-1.11982,3.4775,.,.,.,.
7/1/1953,.,-0.71566,1.14811,.,.,.,-0.33975,2.56804,.,.,.,.
10/1/1953,.,4.57728,-0.68104,.,.,.,-0.34091,4.55684,.,.,.,.
1/1/1954,.,-7.45641,0.57143,.,.,.,0.9122,0.04552,.,.,.,.
4/1/1954,.,2.6811,0,.,.,.,-0.22599,3.24561,.,.,.,.
7/1/1954,.,0.84816,-0.22727,.,.,.,-0.16988,1.73474,.,.,.,.
10/1/1954,.,7.30096,-0.56948,-4.20712,.,.,-0.45377,2.24057,.,.,.,.
1/1/1955,.,-3.98827,0.45819,36.14865,.,.,0,-0.69589,.,.,.,.
4/1/1955,.,4.58065,0,11.66253,.,.,0.62678,3.51013,.,.,.,.
7/1/1955,.,2.54008,0.68415,29.33333,.,.,1.18913,1.91715,.,.,.,.
10/1/1955,.,6.6534,0.33975,21.47766,.,.,0.67152,2.42698,.,.,.,.
1/1/1956,.,-6.38372,0.90293,5.37482,.,.,0,0.6075,.,.,.,.
4/1/1956,.,3.24065,1.45414,8.45638,.,.,0.16676,2.14341,.,.,.,.
7/1/1956,.,1.32299,0.55127,4.33168,.,.,-0.05549,1.06269,.,.,.,.
10/1/1956,.,7.57584,0.98684,4.15184,.,.,-0.38867,1.0034,.,.,.,.
1/1/1957,.,-5.67642,0.9772,0.22779,.,.,-0.11148,-1.27005,.,.,.,.
4/1/1957,.,3.23112,0.21505,2.27273,.,.,-0.22321,2.66085,.,.,.,.
7/1/1957,.,1.69306,0.85837,7.77778,.,.,0.05593,0.30876,.,.,.,.
10/1/1957,.,4.40021,-0.10638,0.61856,.,.,-0.16769,2.82988,.,.,.,.
1/1/1958,.,-8.96429,0.85197,-42.72541,.,.,-0.39194,1.05631,.,.,.,.
4/1/1958,.,4.06353,0.21119,-49.55277,.,.,0.56211,1.12602,.,.,.,.
7/1/1958,.,1.9329,-0.10537,40.78014,.,.,0.11179,-0.86582,.,.,.,.
10/1/1958,.,8.38615,-0.10549,63.47607,.,.,-0.61418,0.4117,.,.,.,.
1/1/1959,.,-4.94971,0.42239,18.79815,.,.,-0.22472,-0.78471,.,.,.,.
4/1/1959,.,6.41354,0.2103,19.97406,1.49392,.,0.11261,1.32236,.,.,0.90243,.
7/1/1959,.,-1.0992,-0.3148,16,1.35783,.,0.05624,2.74107,.,.,-0.89435,.
10/1/1959,.,4.54552,-0.42105,11.55638,0.34898,.,0.05621,2.70802,.,.,0.33841,.
1/1/1960,.,-3.73957,0.42283,-1.42022,0.50482,.,-0.73034,-2.15352,.,.,2.13603,.
4/1/1960,.,4.17182,0.21053,-6.01695,0.82599,.,1.13186,3.60347,.,.,-1.10072,58400.67797
7/1/1960,.,-1.07482,-0.31513,-20.55906,1.78235,.,0,1.28902,.,.,-0.94602,-100
10/1/1960,.,3.57648,0.21075,-21.79342,1.45747,.,0.11192,3.52887,.,.,-2.41573,.
1/1/1961,.,-5.51448,0.31546,-12.77213,1.72599,.,0,-0.54847,.,.,-0.80599,-100
4/1/1961,.,6.07698,-1.04822,-13.47754,1.84424,.,-0.27949,0.80478,.,.,0.11608,.
7/1/1961,.,0.24328,0.10593,-2.88462,1.68667,.,-0.44843,-0.32758,.,.,0.46377,.
10/1/1961,.,6.32344,0.10582,42.57426,1.76046,.,-0.33784,0.72459,.,.,0.51933,-100
1/1/1962,.,-3.42718,0.52854,2.36111,2.07,.,-0.16949,-1.72205,.,.,0.22962,.
4/1/1962,.,4.62869,-0.52576,6.10583,2.11619,.,-0.16978,1.81762,.,.,-1.03093,-0.33223
7/1/1962,.,-0.22391,0.52854,9.20716,1.55426,.,0.05669,1.01582,.,.,-0.11574,99.00881
10/1/1962,.,4.95571,-0.10515,2.69321,2.00283,.,-0.50992,2.36298,.,.,-1.44844,-100
1/1/1963,.,-4.5098,-0.42105,1.48233,2.2321,.,0.1139,-0.42928,.,.,-0.64668,.
4/1/1963,.,5.25807,-0.10571,-0.11236,2.17431,.,0.17065,2.22305,.,.,-0.88757,-0.32787
7/1/1963,.,0.44749,0.42328,12.37345,2.0305,.,-0.11357,0.36751,.,.,0.29851,-0.3268
10/1/1963,.,5.27579,0,3.7037,1.93795,.,0.1137,1.66426,.,.,-0.47619,99.02492
1/1/1964,.,-3.33538,0.10537,0.28958,1.67093,.,0,-1.05504,.,.,0.77751,-100
4/1/1964,.,4.73115,-0.42105,0.76997,1.71055,.,0.45429,1.87479,.,.,-0.35608,.
7/1/1964,.,0.8795,0.31712,-0.95511,2.25886,.,-0.56529,0.2418,.,.,-0.2978,-0.00207
10/1/1964,.,5.10685,0.21075,3.47155,2.04773,.,-0.1137,2.08006,.,.,-1.25448,-0.64103
1/1/1965,.,-3.82244,0.52576,11.1836,1.99874,.,0.17075,-1.8021,.,.,0.90744,-0.32051
4/1/1965,.,5.97018,0.94142,2.59849,1.66525,.,0.34091,1.1903,.,.,0.05995,198.40663
7/1/1965,.,0.92864,0.72539,-0.0817,1.95033,.,0.05663,-0.55012,.,.,0.65908,-100
10/1/1965,.,7.52351,0.72016,2.20769,2.18951,.,0,-0.26177,.,.,0.77381,.
1/1/1966,.,-4.24146,1.43003,9.44,1.92322,.,-0.05659,-2.12683,.,.,1.18133,48.98106
4/1/1966,.,5.5559,0.40282,7.74854,1.20534,.,0.28313,1.54386,.,.,-0.05838,-0.93266
7/1/1966,.,0.89469,1.00301,10.10855,0.5884,.,0.33879,-0.74327,.,.,1.22664,-0.92466
10/1/1966,.,6.82121,-0.69513,2.83426,1.00782,.,0.39392,0.08271,.,.,0.63474,-33.80918
1/1/1967,.,-6.08239,0.1,-13.30138,1.61876,.,-0.28027,-1.34255,-1.13616,.,-0.2867,-50.30395
4/1/1967,.,4.48216,-0.1998,-17.27713,2.39632,.,0.22485,1.37391,-1.23471,.,-1.78263,198.18913
7/1/1967,.,0.56742,0.4004,-2.42272,2.71575,.,0.3926,-0.32566,-0.79946,.,-0.76112,-0.89821
10/1/1967,.,6.3808,0.1994,7.19178,2.11516,.,0.3352,3.62387,-0.41746,.,-0.23599,-0.89022
1/1/1968,.,-4.26712,1.39303,14.77636,1.71334,.,-0.66815,-5.05502,-0.77432,.,1.41928,32.06091
4/1/1968,.,7.498,0.58881,24.91301,1.64676,.,0.56054,0.40367,-1.06913,11.54602,1.04956,-1.16281
7/1/1968,.,0.40719,0.39024,-0.61281,1.94163,.,-0.27871,0.06511,-1.51248,14.56763,-0.17311,-1.1478
10/1/1968,.,6.77323,0.58309,-0.50448,2.31712,.,-0.0559,1.32714,-2.11699,11.23172,-0.46243,-1.13559
1/1/1969,.,-5.08216,1.44928,10.98592,1.70737,.,0.3915,-2.82087,-2.23374,8.20246,0.87108,48.07303
4/1/1969,.,6.63508,1.42857,26.80203,0.88016,.,0.22284,1.02877,-1.98976,11.526,0.69085,-17.99177
7/1/1969,.,0.21118,0.75117,7.88631,0.63558,.,0.44469,-0.74889,-2.28951,-0.15092,1.42939,-1.35992
10/1/1969,.,5.22362,0.93197,-0.48237,0.86123,.,0.05534,1.75578,-1.51578,-1.19169,-0.05637,18.26304
