DATE,WILL5000INDFC_PC1,NGDPNSAXDCUSQ_PC1,PPIACO_PC1,FEDFUNDS,M2SL_PC1,U4RATE_PC1,CIVPART_PC1,BOGZ1FL010000336Q_PC1,GFDEGDQ188S_PC1,CORESTICKM159SFRBATL,M2V_PC1,CPALTT01USM657N_PC1
1/1/2013,14.89152,2.65283,0.70899,0.143333333,7.47165,-6.79245,-0.47047,-3.75464,3.84354,2.104738867,-3.65408,-16.07468
4/1/2013,22.5468,3.21862,1.07367,0.116666667,6.95585,-6.89655,-0.52301,-2.9462,2.45802,1.906615933,-3.67872,723.94059
7/1/2013,24.12948,3.98951,0.87286,0.083333333,6.44731,-8.23529,-0.52411,-3.19951,0.53814,1.8908401,-2.66749,-67.1342
10/1/2013,29.50529,4.58824,-0.18128,0.086666667,6.12176,-11.15538,-1.25589,-2.5867,0.05906,1.877670867,-1.7024,-39.85329
1/1/2014,25.26975,3.40987,0.9332,0.073333333,6.10351,-14.17004,-0.78782,-1.25403,1.79402,1.810619167,-2.8445,0.70018
4/1/2014,21.08544,4.38849,2.0755,0.093333333,6.48435,-17.69547,-0.8938,-2.04924,0.73907,2.0989122,-1.7823,175.4834
7/1/2014,19.76738,4.83768,1.45306,0.09,6.36022,-16.23932,-0.63224,-2.90068,1.49324,2.005786867,-1.33843,-147.39749
10/1/2014,14.31452,4.13624,-0.72643,0.1,5.73131,-17.48879,-0.05299,-3.04229,1.48202,1.993836767,-1.41116,188.7582
1/1/2015,13.03427,4.42521,-6.79643,0.11,6.10648,-15.56604,-0.37057,-3.83377,-1.72605,1.988929,-1.10605,-59.671
4/1/2015,12.40045,4.48303,-7.28466,0.123333333,5.69866,-12.5,-0.05305,-2.89569,-1.19062,2.081581033,-1.42579,22.90338
7/1/2015,4.17636,3.37032,-7.4831,0.136666667,5.59895,-15.81633,-0.53022,-1.50803,-1.30369,2.200372833,-2.32558,122.1465
10/1/2015,3.15501,2.72923,-7.41726,0.16,5.65646,-11.95652,-0.4772,-1.30485,1.57518,2.3983863,-2.86272,-55.98918
1/1/2016,-5.96565,2.43316,-4.97738,0.36,6.00342,-11.73184,0.1594,-0.84081,3.63127,2.5142698,-3.42105,21.35143
4/1/2016,-1.41885,2.40994,-3.97168,0.373333333,6.70828,-9.71429,-0.05308,-0.74141,4.37634,2.5593518,-4.14201,13.52632
7/1/2016,7.45082,2.50875,-2.38302,0.396666667,7.10497,-5.45455,0.53305,-0.20152,5.14811,2.643586933,-4.2328,-158.64756
10/1/2016,9.07701,3.37151,0.80833,0.45,7.2229,-5.55556,0.26638,-0.57702,2.03393,2.543421233,-3.48292,-100.31132
1/1/2017,23.72351,3.34734,5.09158,0.7,6.44417,-7.59494,0.05305,-0.66378,-0.87085,2.596455333,-2.31608,44.2994
4/1/2017,18.85967,4.11236,4.18989,0.95,5.96981,-12.02532,0.15932,-0.36471,-1.28632,2.182203667,-2.1262,-60.83773
7/1/2017,16.5346,4.24364,3.72416,1.153333333,5.44093,-11.53846,0.15907,-1.13078,-0.72772,2.114432667,-1.17403,345.90049
